503.04,502.2841708460754,501.4722764525994,500.6043168195718,499.69711681957176,498.7899168195717,497.88271681957167,496.9755168195716,496.0683168195716,495.16111681957153,494.2539168195715,493.34671681957144,492.4395168195714,491.53231681957135,490.6251168195713,489.71791681957126,488.8107168195712,487.90351681957117,486.9963168195711,486.0891168195711,485.18191681957103,484.274716819571,483.36751681957094,482.4603168195709,481.55311681957085,481.21831681956337,480.8835168195559,480.5487168195484,480.21391681954094,479.87911681953346,479.544316819526,479.2095168195219,478.87471681951786,478.5399168195138,478.2051168195097,477.87031681950566,477.5355168195016,477.20071681949753,476.86591681949346,476.5311168194894,476.19631681948533,475.86151681948127,475.5267168194772,475.19191681947314,474.85711681946907,474.522316819465,474.18751681946094,473.85271681945,473.51791681943905
11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0
10553.76,10553.848021534033,10554.139441534033,10554.430861534032,10554.722281534032,10555.013701534031,10555.305121534031,10555.59654153403,10555.88796153403,10556.17938153403,10556.47080153403,10556.762221534029,10557.053641534028,10557.345061534028,10557.636481534028,10557.927901534027,10558.219321534027,10558.510741534026,10558.802161534026,10559.093581534025,10559.385001534025,10559.676421534024,10559.850154291058,10559.899434665345,10559.948715757972,10560.122452484133,10560.296191742786,10560.469933533968,10560.643677857714,10560.817424714065,10560.991174103056,10561.164926024721,10561.456346024721,10561.74776602472,10562.03918602472,10562.33060602472,10562.62202602472,10562.913446024719,10563.204866024718,10563.496286024718,10563.787706024717,10564.079126024717,10564.370546024717,10564.661966024716,10564.953386024716,10565.244806024715,10565.536226024715,10565.797046024714,10566.057866024714
2365.0,2366.5951180489233,2368.1902360978465,2369.9545960978467,2371.718956097847,2373.483316097847,2375.247676097847,2377.012036097847,2378.7763960978473,2380.5407560978474,2382.3051160978475,2384.0694760978477,2385.833836097848,2386.1511745638154,2386.2651145638156,2386.3790545638158,2386.492994563816,2386.606934563816,2386.7208745638163,2386.8348145638165,2386.9487545638167,2387.062694563817,2387.176634563817,2387.2905745638172,2387.4045145638174,2387.5184545638176,2387.632394563818,2387.746334563818,2387.860274563818,2387.9742145638184,2388.0881545638185,2388.2020945638187,2388.316034563819,2388.429974563819,2388.6616018067857,2389.0176814325005,2389.3737603398745,2389.605383613715,2389.837004355063,2390.0686225638824,2390.300238240136,2390.5318513837865,2390.763461994797,2390.995070073131,2391.1090100731312,2391.2407700731314,2391.3725300731317,2391.504290073132,2391.636050073132
1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0
450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0
1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0
